Title,Author(s),Published Year,Editions,Avg. Rating,Num. of Ratings
"Metaprogramming in R: Advanced Statistical Programming for Data Science, Analysis and Finance",['Thomas Mailund'],0,3,5.00,1
"DATA SCIENCE FROM SCRATCH: Complete guide to master data process, mining, data-analytic, neural networks, machine learning in Python, Linear Algebra, Statistics, Coding, Applications Decision Tree",['G.S. Collins'],0,1,0.00,0
Clark's Tables Science Data Book,['Oliver & Boyd'],0,1,3.00,1
A tu per tu col Machine Learning: L’incredibile viaggio di un developer nel favoloso mondo della Data Science,['Alessandro Cucci'],0,1,5.00,1
Machine Learning with Python: A Step by Step Guide for Absolute Beginners to Program Artificial Intelligence with Python. Neural Networks and Data Science from Pre-Processing to Deep Learning,['MARK CODING'],0,1,0.00,0
Data Science: Main Principles,['Nicholas Brown'],0,1,3.50,4
"python crash course: The advanced language of technology. Python programming for AI, data analysis, data science, big data. An intermediate crash course to achieve the best results with automation",['James Taylor'],0,1,0.00,0
A Practical Guide to Data Analysis for Physical Science Students,['Louis Lyons'],1991,4,3.40,20
Data Analysis for the Life Sciences with R,"['Rafael A. Irizarry', 'Michael I. Love']",0,6,3.60,10
"Parallel Computing for Data Science: With Examples in R, C++ and CUDA (Chapman & Hall/CRC The R Series)",['Norman Matloff'],2015,1,4.00,1
"The Decision Maker's Handbook to Data Science: A Guide for Non-Technical Executives, Managers, and Founders",['Stylianos Kampakis'],0,2,2.00,1
"Parallel Computing for Data Science: With Examples in R, C++ and Cuda",['Norman Matloff'],0,1,5.00,2
R for Data Science Cookbook,"['Yu-Wei, Chiu (David Chiu)']",0,2,0.00,0
2016 Data Science Salary Survey,"['John King', 'Roger Magoulas']",0,1,3.20,5
python data analytics: how to learn data science and use machine learning introduction to deep learning to master python for beginners,['tony f. charles'],0,2,0.00,0
Charting the Next Pandemic: Modeling Infectious Disease Spreading in the Data Science Age,"['Ana Pastore y Piontti', 'Nicola Perra', 'Luca Rossi']",0,1,3.00,1
PYTHON FOR DATA SCIENCE: The Practical Beginner's Guide to Learn Python Data Science in One Day Step-By-Step (#2020 updated version | Effective Computer Programming),['Steve Tudor'],0,2,4.00,1
DATA SCIENCE FROM SCRATCH: From Data Visualization To Manipulation. It Is The Easy Way! All You Need For Business Using The Basic Principles Of Python And Beyond [REVISED & EXPANDED EDITION],['William Gray'],0,1,0.00,0
Data Science: guida ai principi e alle tecniche base della scienza dei dati,['Sinan Ozdemir'],0,1,3.00,1
Data Science from Scratch: Intermediate guide for learning Data science and master it like a pro,['Samuel Harris'],0,1,2.33,3
"Applied Data Science with Python and Jupyter: Use powerful industry-standard tools to unlock new, actionable insights from your data",['Alex Galea'],0,2,3.50,2
Data Science and Classification,['Vladimir Batagelj'],2006,4,2.67,3
"Data Science: Learn the What, Where, and How of Data Science",['Sandya Mannarswamy'],2014,1,4.00,2
Quantitative Analysis for System Applications: Data Science and Analytics Tools and Techniques,['Daniel McGrath'],0,1,4.67,3
Data Analytics: Essentials to master Data Analytics and get your business to the next level,['Scott Harvey'],0,2,0.00,0
"Python for Data Science: how to learn basic contents to work with data with this programming language with this beginner’s guide. Machine learning tools, concepts, and data analysis crash course.",['Matthew Arduino'],0,1,0.00,0
"Python for Data Analysis: A Complete Crash Course on Python for Data Science to Learn Essential Tools and Python Libraries, NumPy, Pandas, Jupyter Notebook, Analysis and Visualization",['Guido van Smit'],0,2,0.00,0
Big Data Et Machine Learning - 2e Ed. - Les Concepts Et Les Outils de La Data Science: Les Concepts Et Les Outils de La Data Science,"['Pirmin Lemberger', 'Marc Batty', 'Médéric Morel']",0,1,3.00,2
"Functional Programming in R: Advanced Statistical Programming for Data Science, Analysis and Finance",['Thomas Mailund'],0,2,5.00,1
"Python Data Science: How to Learn Step by Step Programming, Data Analytics, and Coding Essentials Tools",['Tony Hacking'],0,1,4.00,2
Data Science Programming All-In-One For Dummies (For Dummies,"['John Paul Mueller', 'Luca Massaron']",0,1,4.00,1
Preparing Data for Sharing: Guide to Social Science Data Archiving,['Data Archiving and Networked Services'],2010,2,3.75,4
What Every Manager Should Know About Big Data and Data Science,"['Lars Nielsen', 'noreen burlingame', 'Robert Masters']",0,2,3.00,5
Leading a Data Driven Organization: A Practical Guide to Transforming Yourself and Your Organization to Win the Data Science Revolution,['Gordon Summers'],0,2,5.00,1
Automated Time Series Forecasting Made Easy with R: An intuitive Step by Step Introduction for Data Science,['N.D. Lewis'],0,2,3.50,2
"Python for Data Analysis: The Best Advanced Handbook to Master Coding, Data Science and Programming with Hands-On Projects and Techniques",['Tony Hacking'],0,2,0.00,0
Intelligent Techniques for Data Science,"['Rajendra Akerkar', 'Priti Srinivas Sajja']",0,2,4.00,1
Practical Data Science for Information Professionals,['David Stuart'],0,1,0.00,0
"Python for Data Science: The Ultimate Beginners’ Guide to Data Science, Predictive Analytics, Statistics, and Machine Learning",['Zed Fast'],0,2,0.00,0
"Learn RStudio IDE: Quick, Effective, and Productive Data Science",['Matthew Campbell'],0,2,5.00,1
Data Science and Predictive Analytics: Biomedical and Health Applications using R,['Ivo D. Dinov'],0,1,4.00,1
Data Mining for the Social Sciences: An Introduction,"['Paul Attewell', 'David Monaghan']",2015,4,4.29,7
Foundations of Computer Science: From Data Manipulation to Theory of Computation,['Behrouz A. Forouzan'],2002,3,3.98,102
Data Science for Dummies,['Carl  Anderson'],2014,2,0.00,0
Big Data Science & Analytics: A Hands-On Approach,"['Arshdeep Bahga', 'Vijay Madisetti']",0,1,3.75,4
Data Science From Scratch using R: Step By Step Guide For Beginners,['Alain Kaufmann'],0,1,0.00,0
"Data Analytics and Linux Operating System 2 Bundle Manuscript. Beginners Guide to Learn Data Analytics, Predictive Analytics and Data Science with Linux ... (Hacking Freedom and Data Driven Book 9)",['Isaac D. Cody'],0,1,0.00,0
python machine learning: Python for Beginners to Learn New Techniques Complete guide for data analytics Exercise tricks &Tips to Learn Faster Computer ... How to Master Python for Data Science,['tony f. charles'],0,1,3.00,1
Managing Data Science: Effective strategies to manage data science projects and build a sustainable team,['Kirill Dubovikov'],0,2,3.50,2
"Artificial Intelligence Business: Artificial Intelligence a modern approach. Data Science, Data analytics and ML applied in Healthcare, Marketing for Real World. Successful business tools in Practice",['Jeff Mc Frockman'],0,1,1.00,1
the little book of data science,['noreen burlingame'],2012,1,4.00,2
"Python Programming: The Crash Course for Absolute Beginners - Master the Art of Python Coding for Machine Learning, Data Science & Artificial Intelligence ... + Exercises (computer programming Book 1)",['Mike Cowley'],0,1,3.00,1
"Python Machine Learning: The ways of Artificial Intelligence. The python machine learning for beginners: programming , data science, and data analysis. Language adapted for newbies",['Mark Wilson'],0,1,5.00,1
"Python for Data Science: The Ultimate Beginner's Guide to Learn Data Science, Analysis, and Machine Learning from Scratch with Step-by-Step Exercises (python programming Book 4)",['John Russel'],0,2,0.00,0
Summary: Data Science From Scratch,['Todd McGrath'],0,1,5.00,1
Data Science Strategy for Dummies,['Eugene Dubossarsky'],0,1,0.00,0
Exam Ref 70-774 Perform Cloud Data Science with Azure Machine Learning,['Paco González'],0,1,0.00,0
Booz Allen Field Guide to Data Science,['Booz Allen Hamilton'],0,1,5.00,1
"Business Intelligence: The Ultimate Guide to BI, Artificial Intelligence, Machine Learning, Big Data, Cybersecurity, Data Science, and Predictive Analytics",['Richard Hurley'],0,1,4.00,1
Kick Start Hadoop: Apache Pig: Getting started with Data Science on Hadoop,['Mario Meir-Huber'],0,1,3.67,3
Spark for Data Science,"['Bikramaditya Singhal', 'Srinivas Duvvuri']",0,3,0.00,0
"Data Science con Python: dalle stringhe al machine learning, le tecniche essenziali per lavorare sui dati",['Dmitry Zinoviev'],0,1,4.00,1
Data Science 101: with PrimaXL add-in for MS Excel,['James S. Chang'],0,1,3.00,2
Targeted Learning in Data Science: Causal Inference for Complex Longitudinal Studies (Springer Series in Statistics),"['Mark J. van der Laan', 'Sherri Rose']",0,2,0.00,0
"Machine Learning with Python: An Advanced Guide to Go Deep into Artificial Intelligence. Tools, Tips and Tricks for Going into Data Science and Data Analysis using Python and TensorFlow",['Russel R. Russo'],0,1,0.00,0
"Python for Data Science: Master Data Analysis from Scratch, with Business Analytics Tools and Step-by-Step Exercises for Beginners. The Future of Machine Learning and Applied Artificial Intelligence",['Daniel Howard'],0,2,0.00,0
The Use of Social Science Data in Supreme Court Decisions,"['Rosemary J. Erickson, Ph.D.', 'Rita James Simon', 'Rita J. Simon']",1997,2,4.00,2
Making Money out of Data: The art and science of Analytics,['Shailendra Kumar'],0,1,4.00,1
R Data Science Essentials,"['Raja B. Koushik', 'Sharan Kumar Ravindran']",0,2,4.00,2
Hands-on DevOps: Explore the concept of continuous delivery and integrate it with data science concepts,['Sricharan Vadapalli'],0,2,0.00,0
Hands-On Devops: Explore the Concept of Continuous Delivery and Integrate It with Data Science Concepts,['Sricharan Vadapalli'],0,1,3.00,1
Analysis of Longitudinal Data (Oxford Statistical Science Series Book 25),"['Peter J. Diggle', 'Patrick Heagerty', 'Kung-Yee Liang']",1994,6,4.18,17
Evidence-Based Climate Science: Data Opposing Co2 Emissions as the Primary Source of Global Warming,['Don Easterbrook'],0,1,0.00,0
Data Science and Big Data Computing: Frameworks and Methodologies,['Zaigham Mahmood'],0,3,3.00,1
"SQL for Marketers: Dominate Data Analytics, Data Science, and Big Data",['Lazy Programmer'],0,1,3.00,3
Apache Spark 2.x Cookbook: Cloud-ready recipes for analytics and data science,['Rishi Yadav'],0,1,0.00,0
"Data Science con Python: dalle stringhe al machine learning, le tecniche essenziali per lavorare sui dati",['Dmitry Zinoviev'],0,1,4.00,1
Data Science 101: with PrimaXL add-in for MS Excel,['James S. Chang'],0,1,3.00,2
Targeted Learning in Data Science: Causal Inference for Complex Longitudinal Studies (Springer Series in Statistics),"['Mark J. van der Laan', 'Sherri Rose']",0,2,0.00,0
"Machine Learning with Python: An Advanced Guide to Go Deep into Artificial Intelligence. Tools, Tips and Tricks for Going into Data Science and Data Analysis using Python and TensorFlow",['Russel R. Russo'],0,1,0.00,0
"Python for Data Science: Master Data Analysis from Scratch, with Business Analytics Tools and Step-by-Step Exercises for Beginners. The Future of Machine Learning and Applied Artificial Intelligence",['Daniel Howard'],0,2,0.00,0
The Use of Social Science Data in Supreme Court Decisions,"['Rosemary J. Erickson, Ph.D.', 'Rita James Simon', 'Rita J. Simon']",1997,2,4.00,2
Effective Conservation Science: Data Not Dogma,['Peter Kareiva'],0,2,3.67,3
A Hands-On Introduction to Data Science,['Chirag Shah'],0,3,1.50,2
R Data Science Essentials,"['Raja B. Koushik', 'Sharan Kumar Ravindran']",0,2,4.00,2
Hands-on DevOps: Explore the concept of continuous delivery and integrate it with data science concepts,['Sricharan Vadapalli'],0,2,0.00,0
Hands-On Devops: Explore the Concept of Continuous Delivery and Integrate It with Data Science Concepts,['Sricharan Vadapalli'],0,1,3.00,1
Analysis of Longitudinal Data (Oxford Statistical Science Series Book 25),"['Peter J. Diggle', 'Patrick Heagerty', 'Kung-Yee Liang']",1994,6,4.18,17
Evidence-Based Climate Science: Data Opposing Co2 Emissions as the Primary Source of Global Warming,['Don Easterbrook'],0,1,0.00,0
"A complete Data Science interview with 100+ Questions: SQL, Python, Statistics, Linear Regression and MS Excel, updated for 2019",['TheDataMonk'],0,1,5.00,1
Data Science and Machine Learning: Mathematical and Statistical Methods,"['Dirk P Kroese', 'Zdravko Botev', 'Thomas Taimre']",0,4,0.00,0
Evidence-Based Climate Science: Data Opposing Cos Emissions as the Primary Source of Global Warming,['Don J. Easterbrook'],2011,3,0.00,0
"The Real Work of Data Science: Turning Data Into Information, Better Decisions, and Stronger Organizations","['Ron S Kenett', 'Thomas C Redman']",0,1,5.00,1
Einführung in Machine Learning mit Python: Praxiswissen Data Science,"['Andreas C. Müller', 'Sarah Guido', 'Kristian Rother']",2015,12,4.30,281
The Python Bible Volume 3: Data Science,['Florian Dedov'],0,2,0.00,0
Machine Interpretation Of Patterns: Image Analysis And Data Mining,"['Rajat K. De', 'Deba Prasad Mandal', 'Ashish Ghosh']",2010,1,4.00,1
"Ruby: Beginner's Guide for Ruby - Database Programming, Data Science, Data Structures & Algorithms",['Robert Scott'],2015,1,5.00,1
"Python Programming: The Ultimate Advanced Guide to Master Your Data Analytics, Data Science and Coding Ability Beyond the Basics",['Tony Hacking'],0,2,0.00,0
Introduction to Machine Learning with Python: A Guide for Beginners in Data Science,['David James'],0,2,0.00,0
Modelling Survival Data in Medical Research,['David Collett'],2003,5,4.56,16
"Haunted Data: Transmedia, Affect, Weird Science and Archives of the Future",['Lisa Blackman'],0,3,4.50,4
Nonresponse in Social Science Surveys: A Research Agenda,"['Panel on a Research Agenda for the Future of Social Science Data Collection', 'Committee on National Statistics', 'Division on Behavioral and Social Sciences and Education']",2013,3,3.00,1
Research Data Management: Practical Strategies for Information Professionals,['Joyce M. Ray'],2013,5,3.11,9
Foundations of Computer Science: : From Data Manipulation to Theory of Computation,"['Richard F. Gilberg', 'Behrouz A. Forouzan']",2007,1,4.33,12
"Web Social Science: Concepts, Data and Tools for Social Scientists in the Digital Age",['Robert Ackland'],2013,5,3.71,7
"Profit from Science: Solving Business Problems using Data, Math, and the Scientific Process",['George Danner'],2015,1,3.50,8
"Data Structures and Algorithm Analysis in Java, Third Edition (Dover Books on Computer Science)",['Clifford Shaffer'],2012,1,3.33,6
"Statistics: Methods and Applications: A Comprehensive Reference Fro Science, Industry, and Data Mining",['Thomas Hill'],2005,1,3.67,3
Measurement and Data Analysis for Engineering and Science,['Patrick F. Dunn'],2004,10,2.44,9
2015 Data Science Salary Survey,['John King'],0,1,4.33,3
Data Science Foundations Tools and Techniques: Core Skills for Quantitative Analysis with R and Git,['Michael Freeman'],0,1,5.00,1
Intelligent Data Analysis in Science,['Hugh Cartwright'],2000,1,4.00,1
"What do they ask in Top Data Science Interview Part 2: Amazon, Accenture, Sapient, Deloitte, and BookMyShow","['TheDataMonk', 'The DataMonk']",0,1,4.00,2
Cyber-Risk Informatics: Engineering Evaluation with Data Science,['Mehmet Sahinoglu'],2016,6,1.00,1
Data Science Jobs: Career Guide for Students & Professionals,['Ann Rajaram'],0,1,4.00,2
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control","['Steven L. Brunton', 'J. Nathan Kutz']",0,1,5.00,1
"Data Science: Theory, Analysis and Applications","['Qurban A Memon', 'Shakeel Ahmed Khoja']",0,4,0.00,0
Beginning Programming in Python and Data Science: Student Workbook and Instructor's Resources,"['Mr. Peter Kravsky', 'Mr. Teodorico Ampudia']",0,1,5.00,1
The Predictive Program Manager Volume 1: Data Science that every Project/Program Manager should know (Predictology Series Book 3),['Puneet Mathur'],0,1,0.00,0
"Machine Learning for Beginners: The Beginner’s Guide to Big Data Analytics, Data Science, Data Analysis with Machine Learning",['Leonard Deep'],0,1,0.00,0
Introduction to Data Science: Data Analysis and Prediction Algorithms with R,['Rafael A Irizarry'],0,4,0.00,0
"Korean With Kpop: Data Science based Korean Language Learning with the most frequent words, grammar and phrases in Kpop for beginners",['Ross Ellison'],0,1,0.00,0
"Machine Learning for Signal Processing: Data Science, Algorithms, and Computational Statistics",['Max A Little'],0,2,0.00,0
"Data Analytics: A Practical Guide to Data Analytics for Business, Beginner to Expert",['James Fahl'],0,2,0.00,0
"Machine Learning Programming: 2 Books in 1: Machine Learning for Beginners, Machine Learning Mathematics. An Introduction Guide to Understand Data Science Through the Business Application",['Samuel Hack'],0,1,5.00,1
Strategies in Biomedical Data Science: Driving Force for Innovation,['Jay Etching'],0,3,0.00,0
Mathematical Problems in Data Science: Theoretical and Practical Methods,"['Li M Chen', 'Zhixun Su', 'Bo Jiang']",2015,2,4.00,1
Thoughtful Data Science: Working with data by creating visually intuitive insights with Jupyter and Pixiedust,['David Taieb'],0,1,5.00,1
R for Data Science: Essential Tools for Working with Data and Statistics,"['Max Beerbohm', 'Moaml Mohmmed']",0,1,0.00,0
"Python: Language of the Future: An Introduction to The Basics Coding Language Python for Web Development, Data Science, Analytics, Internet of Things with Examples",['Grant Rawlinson'],0,1,0.00,0
"Python Data Science: Learn Python in a Week and Master It. An Hands-On Introduction to Big Data Analysis and Mining, a Project-Based Guide with Practical Exercises (7 Days Crash Course, Book 3)",['Computer Programming Academy'],0,2,0.00,0
Python Programming for Beginners: Basic Language from Absolute Beginners to Intermediate. Learn Easily and Fast Data Science and Web Development in a Simple and Practical Way Step-by-Step,['MARK CODING'],0,4,0.00,0
Data-Intensive Science,"['Terence Critchlow', 'Kerstin Kleese Van Dam']",2012,5,4.00,1
Data Science in the Cloud with Microsoft Azure Machine Learning and Python,['Stephen F. Elston'],0,1,3.00,3
"Data Analytics and Python Programming. Beginners Guide to Learn Data Analytics, Predictive Analytics and Data Science with Python Programming",['Isaac D Cody'],0,1,0.00,0
"ADVANCED DATA SCIENCE NEURAL NETWORK, TENSORFLOW ,KERA PART 1: Advanced Machine Learning, Data Science, AI, Neural Network, Tensorflow, KERA",['GICGAC ACADEMY'],0,1,0.00,0
Data Science with SQL Server Quick Start Guide: Integrate SQL Server with data science,['Dejan Sarka'],0,2,3.33,3
Introduction to Data Science for Social and Policy Research: Collecting and Organizing Data with R and Python,['Jose Manuel Magallanes Reyes'],0,5,0.00,0
Data Science: Questions and Answers,['George Duckett'],0,2,0.00,0
"Python Programming: The Ultimate Crash Course for Learning Python Quickly, with Practical Examples and Coding Language Tricks for Beginners. Computer Programming for Data Science and Machine Learning",['Daniel Howard'],0,2,0.00,0
"Data Science mit Python: Das Handbuch für den Einsatz von IPython, Jupyter, NumPy, Pandas, Matplotlib und Scikit-Learn",['Jake Vanderplas'],0,1,4.00,2
Data Science in the Cloud with Microsoft Azure Machine Learning and R: 2015 Update,['Stephen F. Elston'],0,1,2.50,2
Data Science for Modern Manufacturing,['Li Ping Chu'],0,1,4.00,1
"python for data science: the ultimate guide for beginners.machine learning tools,concepts and introduction.python programming crash course",['tony f. charles'],0,1,0.00,0
Practical Data Science with Python 3: Synthesizing Actionable Insights from Data,['Ervin Varga'],0,2,0.00,0
Practical Data Science: A Guide to Building the Technology Stack for Turning Data Lakes Into Business Assets,['Andreas François Vermeulen'],0,1,0.00,0
Scala: Guide for Data Science Professionals,"['Pascal Bugnion', 'Arun Manivannan', 'Patrick R Nicolas']",0,2,5.00,1
"Practical Data Science Cookbook - Second Edition: Data pre-processing, analysis and visualization using R and Python","['Prabhanjan Tattar', 'Tony Ojeda', 'Sean Patrick Murphy']",0,1,0.00,0
"Data Science: What You Need to Know About Data Analytics, Data Mining, Regression Analysis, Artificial Intelligence, Big Data for Business, Data Visualization, Database Querying, and Machine Learning",['Richard Hurley'],0,2,0.00,0
"Python Data Science: An essential crash course made accessible to start working filled with essential tools, tecniques, concepts that helps you learn Python Data Science",['programming languages project'],0,2,5.00,1
Data Science. Nauka o dannyh s nulya,['Gras Dzhoel'],0,1,0.00,0
Data Science with Python: Combine Python with machine learning principles to discover hidden patterns in raw data,"['Rohan Chopra', 'Aaron England', 'Mohamed Noordeen Alaudeen']",0,2,2.00,1
Analytical Skills for AI and Data Science: Building Skills for an Ai-Driven Enterprise,['Daniel Vaughan'],0,1,0.00,0
"Korean With Kpop: Data Science based Korean Language Learning with the most frequent words, grammar and phrases in Kpop for beginners",['Ross Ellison'],0,1,0.00,0
"Machine Learning for Signal Processing: Data Science, Algorithms, and Computational Statistics",['Max A Little'],0,2,0.00,0
"Data Analytics: A Practical Guide to Data Analytics for Business, Beginner to Expert",['James Fahl'],0,2,0.00,0
"Data Science mit Python: Das Handbuch für den Einsatz von IPython, Jupyter, NumPy, Pandas, Matplotlib und Scikit-Learn",['Jake Vanderplas'],0,1,4.00,2
"Analytics, Data Science, & Artificial Intelligence: Systems for Decision Support","['Ramesh Sharda', 'Dursun Delen', 'Efraim Turban']",0,2,4.00,2
Data Science in the Cloud with Microsoft Azure Machine Learning and R: 2015 Update,['Stephen F. Elston'],0,1,2.50,2
Data Science for Modern Manufacturing,['Li Ping Chu'],0,1,4.00,1
"python for data science: the ultimate guide for beginners.machine learning tools,concepts and introduction.python programming crash course",['tony f. charles'],0,1,0.00,0
Practical Data Science with Python 3: Synthesizing Actionable Insights from Data,['Ervin Varga'],0,2,0.00,0
Practical Data Science: A Guide to Building the Technology Stack for Turning Data Lakes Into Business Assets,['Andreas François Vermeulen'],0,1,0.00,0
Scala: Guide for Data Science Professionals,"['Pascal Bugnion', 'Arun Manivannan', 'Patrick R Nicolas']",0,2,5.00,1
Data-Intensive Science,"['Terence Critchlow', 'Kerstin Kleese Van Dam']",2012,5,4.00,1
Data Science in the Cloud with Microsoft Azure Machine Learning and Python,['Stephen F. Elston'],0,1,3.00,3
"Data Analytics and Python Programming. Beginners Guide to Learn Data Analytics, Predictive Analytics and Data Science with Python Programming",['Isaac D Cody'],0,1,0.00,0
"ADVANCED DATA SCIENCE NEURAL NETWORK, TENSORFLOW ,KERA PART 1: Advanced Machine Learning, Data Science, AI, Neural Network, Tensorflow, KERA",['GICGAC ACADEMY'],0,1,0.00,0
"The Educational Leader's Guide to Improvement Science: Data, Design and Cases for Reflection","['Robert Crow', 'Brandi Nicole Hinnant-Crawford', 'Dean T. Spaulding']",0,1,0.00,0
Raw Data: A Novel on Life in Science,['Pernille Rorth'],2015,1,3.50,10
Bayesian Logical Data Analysis for the Physical Sciences: A Comparative Approach with Mathematica Support,['P.C. Gregory'],2005,2,4.00,7
Statistics and Data Analysis for Social Science [with MySearchLab & eText Access Code],['Eric J. Krieg'],2011,8,3.33,6
There Are Two Types Of People In This World: Those Who Can Extrapolate From Incomplete Data: Computer Data Science Journal Blank Lined Notebook (6x9) 60 Pages,['Data Science Journal'],0,1,0.00,0
There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,['Data Science Co'],0,1,0.00,0
DATA IT WILL NOT BETRAY YOU: Computer Data Science Gift For Scientist Notebook (120 Page Dot grid),['Data Science Journal Notebook'],0,1,0.00,0
There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,['Data Science Co'],0,1,0.00,0
The Ultimate Guide to Starting a Career in Data Science,['365 Data Science'],0,1,0.00,0
Introverted But WillingTo Discuss Data: Blanked Lined Journal Gift For Computer Data Science Related People.,['Data Science Journal'],0,1,0.00,0
DATA IT WILL NOT BETRAY YOU: Computer Data Science Gift For Scientist Notebook (120 Page Dot grid),['Data Science Journal Notebook'],0,1,0.00,0
There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,['Data Science Co'],0,1,0.00,0
There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,['Data Science Co'],0,1,0.00,0
There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,['Data Science Co'],0,1,0.00,0
Strengthening Data Science Methods for Department of Defense Personnel and Readiness Missions,"['Committee on Strengthening Data Science Methods for Department of Defense Personnel and Readiness Mi', 'Committee on Applied and Theoretical Statistics', 'Board on Mathematical Sciences and Their Applications']",0,1,0.00,0
There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,['Data Science Co'],0,1,0.00,0
Living That Data Life: Blank Lined Journal Gift For Computer Data Science Related People.,['Data Science Journal'],0,1,0.00,0
Deep Learning for Business with Python: A Very Gentle Introduction to Deep Neural Networks for Practical Data Science,['N Lewis'],0,1,0.00,0
scikit-learn : Machine Learning Simplified: Implement scikit-learn into every step of the data science pipeline,"['Raúl Garreta', 'Guillermo Moncecchi', 'Trent Hauck']",0,2,0.00,0
#MusicTech: Experimenting with Data Science and Recommender Systems,['Alexandre Passant'],2015,1,4.00,3
Methods for Data Science: I - Introductory Applied Mathematics,['James Godfrey'],0,1,0.00,0
The Digital Cell: Cell Biology as A Data Science,['Stephen J. Royle'],0,1,0.00,0
Introdução a Data Science: Algoritmos de Machine Learning e métodos de análise,"['Tatiana Escovedo', 'Adriano Koshiyama']",0,1,3.00,1
Data Visualization and Text Principles and Practices: The Eye of Data Science,['Thomas Miller'],0,1,0.00,0
"Python: 2 Books in 1: Data Science and Programming. The Ultimate 7 Days Crash Course for Beginners to Learn Coding, Machine Learning and Data Analysis with a Step-by-Step Guide and Hands-On Exercises",['Tony Hacking'],0,1,0.00,0
R: Programming and Data Science,"['Kun Ren', 'Selva Peabhakaran']",0,1,0.00,0
"Lean: The Ultimate Guide to Lean Six Sigma, Lean Enterprise, and Lean Manufacturing + Lean Analytics - The Agile Way to Build a Superior Startup Using Data Science",['James Edge'],0,1,4.00,1
Quantitative Social Science Data with R: An Introduction,['Brian J Fogarty'],0,3,4.00,1
"Python for Beginners: Start Right Now to Learn Computer Programming with the Best Crash Course. Improve your Skills with Machine Learning, Data Analysis and Data Science",['Ben Chan'],0,2,0.00,0
Python Data Science: 3 Books in 1: Hands on Learning for Beginners+A Hands-on Guide Beyond the Basics+A Hands-On Guide For Experts,['Travis Booth'],0,2,0.00,0
Python Data Science: A Step-By-Step Guide to Data Analysis. What a Beginner Needs to Know About Machine Learning and Artificial Intelligence. Exercises Included,['Axel Ross'],0,2,0.00,0
Doing Data Science/Chinese Edition,"['Rachel Schutt', ""Cathy O'Neil""]",0,1,3.00,1
Machine Learning: The Way of Artificial Inteligence & Data Science,['Jeff Phoenix'],0,1,0.00,0
Raw Data: A Novel on Life in Science,['Pernille Rørth'],0,1,4.00,6
R: Programming and Data Science,"['Kun Ren', 'Selva Peabhakaran']",0,1,0.00,0
"Lean: The Ultimate Guide to Lean Six Sigma, Lean Enterprise, and Lean Manufacturing + Lean Analytics - The Agile Way to Build a Superior Startup Using Data Science",['James Edge'],0,1,4.00,1
Quantitative Social Science Data with R: An Introduction,['Brian J Fogarty'],0,3,4.00,1
Data Science for Business and Decision Making,"['Luiz Favero', 'Patricia Favero']",0,1,5.00,1
Effective Conservation Science: Data Not Dogma,['Peter Kareiva'],0,1,0.00,0
"Data Science for Beginners: What You Have to Know about Data Analytics, Data Mining, Data Security, Statistics, Coding and Tips",['Travis Goleman'],0,1,3.00,2
Latest Designing and Implementing a Data Science Solution on Azure (DP-100) Exam Questions and Answers,['Eloic Dumps'],0,1,5.00,1
Data Science Programming All-In-One for Dummies,"['John Paul Mueller', 'Luca Massaron']",0,3,0.00,0
Data Science for Healthcare: Methodologies and Applications,"['Sergio Consoli', 'Diego Reforgiato Recupero', 'Milan Petkovic']",0,2,0.00,0
Deep Learning for Beginners: This Book Includes 2 Manuscripts: Deep Learning for Beginners and Data Science from Scratch,['Steven Cooper'],0,1,0.00,0
What do they ask in top Data Science Interviews: 5 Complete Data Science Real Interviews Q and A,"['TheDataMonk', 'The DataMonk']",0,1,5.00,1
Agile Data Science: Interview QA Book,['Linux Kuriosity'],0,1,3.00,1
"Data Science for Beginners: 2 Books in 1: Deep Learning for Beginners + Machine Learning with Python - A Crash Course to Go Through the Artificial Intelligence Revolution, Python and Neural Networks",['Russel R. Russo'],0,2,0.00,0
"Python Data Analytics: Data Analysis and Science using pandas, matplotlib and the Python Programming Language",['Fabio Nelli'],0,1,0.00,0
"Learn Python Programming: A Beginners Crash Course on Python Language for Getting Started with Machine Learning, Data Science and Data Analytics (Artificial Intelligence Book 1)",['Russel R. Russo'],0,1,3.00,1
Data Science and Predictive Analytics: Biomedical and Health Applications Using R,['Ivo D Dinov'],0,2,0.00,0
Data Science für Dummies,['Lillian Pierson'],0,2,0.00,0
Data science : fondamentaux et études de cas : Machine learning avec Python et R,"['Eric Biernat', 'Michel Lutz', 'Yann LeCun']",0,1,0.00,0
125 Must Have Python Questions Before Data Science Interview: From Installation to Interview Questions,['The DataMonk'],0,1,4.00,1
